# 链接存活检查：共 140 条，可达 126，受限 5（401/403/429），异常 9；并发 8，耗时 27.6s
status	note	ms	bytes	url	final_url
200	可达	890	642144	https://docs.github.com/en/rest/search/search?apiVersion=2022-11-28	https://docs.github.com/en/rest/search/search?apiVersion=2022-11-28
200	可达	1049	94718	https://docs.rs/crate/grepapp_haystack/1.16.33	https://docs.rs/crate/grepapp_haystack/1.16.33
200	可达	976	-	https://docs.semgrep.dev/getting-started/cli/	https://docs.semgrep.dev/getting-started/cli/
200	可达	1003	-	https://duckdb.org/why_duckdb	https://duckdb.org/why_duckdb
200	可达	2102	-	https://dudarik.com/en/blog/claude-context-mcp	http://dudarik.com/en/blog/claude-context-mcp/
200	可达	817	25297	https://fulll.github.io/github-code-search/reference/github-api-limits	https://fulll.github.io/github-code-search/reference/github-api-limits
200	可达	1154	-	https://ghapi.fast.ai/	https://ghapi.fast.ai/
200	可达	4842	-	https://ghtorrent.org/	https://www.whitetigertantra.com/
200	可达	519	-	https://github.com/	https://github.com/
200	可达	520	-	https://github.com/BurntSushi/ripgrep	https://github.com/BurntSushi/ripgrep
200	可达	1161	-	https://github.com/Genivia/ugrep	https://github.com/Genivia/ugrep
200	可达	1106	-	https://github.com/Genivia/ugrep-indexer	https://github.com/Genivia/ugrep-indexer
200	可达	542	-	https://github.com/GodSpeedAI/ast-grep-mcp-rs	https://github.com/GodSpeedAI/ast-grep-mcp-rs
200	可达	488	-	https://github.com/Kztpia/vscode-gnu-global	https://github.com/Kztpia/vscode-gnu-global
200	可达	477	-	https://github.com/LeoChimal09/MCP-INTELLIGENCE-CONTEXT	https://github.com/LeoChimal09/MCP-INTELLIGENCE-CONTEXT
200	可达	1054	-	https://github.com/Xveyn/codebase-semantic-search	https://github.com/Xveyn/codebase-semantic-search
200	可达	418	-	https://github.com/apache/datafusion	https://github.com/apache/datafusion
200	可达	415	-	https://github.com/asg017/sqlite-vec	https://github.com/asg017/sqlite-vec
200	可达	423	-	https://github.com/ast-grep/ast-grep	https://github.com/ast-grep/ast-grep
200	可达	420	-	https://github.com/ast-grep/ast-grep-mcp	https://github.com/ast-grep/ast-grep-mcp
200	可达	418	-	https://github.com/chroma-core/chroma	https://github.com/chroma-core/chroma
200	可达	418	-	https://github.com/code-yeongyu/pi-ast-grep	https://github.com/code-yeongyu/pi-ast-grep
200	可达	432	-	https://github.com/comby-tools/comby	https://github.com/comby-tools/comby
200	可达	406	-	https://github.com/duckdb/duckdb	https://github.com/duckdb/duckdb
200	可达	529	-	https://github.com/duo-labs/secret-bridge/blob/master/DATASETS.md	https://github.com/duo-labs/secret-bridge/blob/master/DATASETS.md
200	可达	932	-	https://github.com/facebookresearch/faiss	https://github.com/facebookresearch/faiss
200	可达	1303	-	https://github.com/fastai/ghapi	https://github.com/AnswerDotAI/ghapi
200	可达	450	-	https://github.com/ggreer/the_silver_searcher	https://github.com/ggreer/the_silver_searcher
200	可达	410	-	https://github.com/github/codeql	https://github.com/github/codeql
200	可达	384	-	https://github.com/google/codesearch	https://github.com/google/codesearch
200	可达	403	-	https://github.com/hound-search/hound	https://github.com/hound-search/hound
200	可达	937	-	https://github.com/janeklb/gh-search	https://github.com/janeklb/gh-search
200	可达	395	-	https://github.com/joinQuantish/codebase-rag	https://github.com/joinQuantish/codebase-rag
200	可达	408	-	https://github.com/junegunn/fzf	https://github.com/junegunn/fzf
200	可达	1172	-	https://github.com/lancedb/lancedb	https://github.com/lancedb/lancedb
200	可达	389	-	https://github.com/livegrep/livegrep	https://github.com/livegrep/livegrep
200	可达	387	-	https://github.com/mchaput/whoosh	https://github.com/mchaput/whoosh
200	可达	425	-	https://github.com/meilisearch/meilisearch	https://github.com/meilisearch/meilisearch
200	可达	419	-	https://github.com/microsoft/CodeBERT	https://github.com/microsoft/CodeBERT
200	可达	408	-	https://github.com/oracle/opengrok	https://github.com/oracle/opengrok
200	可达	395	-	https://github.com/pola-rs/polars	https://github.com/pola-rs/polars
200	可达	376	-	https://github.com/pygithub/pygithub	https://github.com/pygithub/pygithub
200	可达	395	-	https://github.com/quickwit-oss/tantivy	https://github.com/quickwit-oss/tantivy
200	可达	1127	-	https://github.com/quickwit-oss/tantivy-py	https://github.com/quickwit-oss/tantivy-py
200	可达	410	-	https://github.com/rizperdana/semgrepll	https://github.com/rizperdana/semgrepll
200	可达	968	-	https://github.com/sharkdp/fd	https://github.com/sharkdp/fd
200	可达	980	-	https://github.com/sigmavirus24/github3.py	https://github.com/sigmavirus24/github3.py
200	可达	411	-	https://github.com/sourcegraph/zoekt	https://github.com/sourcegraph/zoekt
200	可达	389	-	https://github.com/svent/sift	https://github.com/svent/sift
200	可达	433	-	https://github.com/typesense/typesense	https://github.com/typesense/typesense
200	可达	408	-	https://github.com/universal-ctags/ctags	https://github.com/universal-ctags/ctags
200	可达	411	-	https://github.com/valeriansaliou/sonic	https://github.com/valeriansaliou/sonic
200	可达	432	-	https://github.com/voidtools/ES	https://github.com/voidtools/ES
200	可达	420	-	https://github.com/yul11a/ghtorrent.org	https://github.com/yul11a/ghtorrent.org
200	可达	570	-	https://github.com/yul11a/ghtorrent.org/blob/master/faq.md	https://github.com/yul11a/ghtorrent.org/blob/master/faq.md
200	可达	1616	-	https://github3.readthedocs.io	https://github3.readthedocs.io/en/latest/
200	可达	201	551231	https://githubdocs.cn/en/rest/search/search	https://githubdocs.cn/en/rest/search/search
200	可达	171	551231	https://githubdocs.cn/en/rest/search/search?apiVersion=2022-11-28	https://githubdocs.cn/en/rest/search/search?apiVersion=2022-11-28
200	可达	1748	50543	https://gitlab.com/Anytxt/anytxt-searcher	https://gitlab.com/Anytxt/anytxt-searcher
429	限流	320	-	https://grep.app/	https://grep.app/
429	限流	340	-	https://grep.app/api/search	https://grep.app/api/search
200	可达	1781	-	https://himcp.ai/server/mcp-intelligence-context	https://himcp.ai/server/mcp-intelligence-context
ERR	网络失败: <urlopen error Tunnel connection failed: 502 Bad Gateway>	10015	-	https://huggingface.co/Qwen/Qwen3-Embedding-0.6B-GGUF	https://huggingface.co/Qwen/Qwen3-Embedding-0.6B-GGUF
ERR	网络失败: <urlopen error Tunnel connection failed: 502 Bad Gateway>	10014	-	https://huggingface.co/jinaai/jina-embeddings-v2-base-code	https://huggingface.co/jinaai/jina-embeddings-v2-base-code
ERR	网络失败: <urlopen error Tunnel connection failed: 502 Bad Gateway>	10007	-	https://jina.ai/models/jina-embeddings-v2-base-code	https://jina.ai/models/jina-embeddings-v2-base-code
200	可达	1374	47865	https://libraries.io/npm/@ast-grep%2Fcli-win32-x64-msvc/0.39.2	https://libraries.io/npm/@ast-grep%2Fcli-win32-x64-msvc/0.39.2
200	可达	1178	44045	https://libraries.io/pypi/github3.py/0.3	https://libraries.io/pypi/github3.py/0.3
200	可达	1385	-	https://lobehub.com/fr/mcp/joinquantish-codebase-rag	https://lobehub.com/fr/mcp/joinquantish-codebase-rag
200	可达	1825	-	https://lobehub.com/mcp/godspeedai-ast-grep-mcp-rs	https://lobehub.com/mcp/godspeedai-ast-grep-mcp-rs
200	可达	1717	-	https://lobehub.com/mcp/xveyn-codebase-semantic-search	https://lobehub.com/mcp/xveyn-codebase-semantic-search
200	可达	1165	12477	https://lucene.apache.org/core/	https://lucene.apache.org/core/
404	不存在	1341	-	https://magicliang.github.io/2026/04/17/	https://magicliang.github.io/2026/04/17/
200	可达	1505	918165	https://microsoft.github.io/language-server-protocol/specifications/lsp/3.17/specification/	https://microsoft.github.io/language-server-protocol/specifications/lsp/3.17/specification/
200	可达	1170	-	https://mintlify.wiki/sourcegraph/docs/api/overview	https://mintlify.wiki/sourcegraph/docs/api/overview
200	可达	1128	-	https://ollama.com	https://ollama.com
200	可达	1183	120824	https://openapps.pro/packages/py-tree-sitter	https://openapps.pro/packages/py-tree-sitter
200	可达	870	252335	https://opensearch.org/	https://opensearch.org/
200	可达	1630	17668	https://packages.msys2.org/package/global	https://packages.msys2.org/packages/global
200	可达	1056	-	https://publicwww.com/	https://publicwww.com/
200	可达	1106	-	https://publicwww.com/prices.html	https://publicwww.com/prices.html
200	可达	1079	-	https://publicwww.com/syntax.html	https://publicwww.com/syntax.html
200	可达	1180	-	https://publicwww.com/websites/	https://publicwww.com/websites/
200	可达	821	-	https://pygithub.readthedocs.io/en/v2.10.0/examples/MainClass.html	https://pygithub.readthedocs.io/en/v2.10.0/examples/MainClass.html
200	可达	1082	3038	https://pypi.org/project/PyGithub/	https://pypi.org/project/PyGithub/
200	可达	1095	3038	https://pypi.org/project/ast-grep-cli/	https://pypi.org/project/ast-grep-cli/
200	可达	1092	3038	https://pypi.org/project/gh-search/	https://pypi.org/project/gh-search/
200	可达	1135	3038	https://pypi.org/project/ghapi/	https://pypi.org/project/ghapi/
200	可达	1187	3038	https://pypi.org/project/github3.py/	https://pypi.org/project/github3.py/
200	可达	1120	3038	https://pypi.org/project/semgrep/0.18.0/	https://pypi.org/project/semgrep/0.18.0/
200	可达	343	782453	https://qdrant.tech/	https://qdrant.tech/
200	可达	1491	-	https://reporank.net/en/repo/chunkhound-chunkhound.html	https://reporank.net/en/repo/chunkhound-chunkhound.html
200	可达	932	79391	https://searchcode.com/	https://searchcode.com/
200	可达	914	33453	https://searchcode.com/openapi.json	https://searchcode.com/openapi.json
200	可达	1126	101925	https://semgrep.dev/	https://semgrep.dev/
200	可达	2245	93708	https://semgrep.dev/products/community-edition	https://semgrep.dev/products/community-edition/
200	可达	2580	85654	https://semgrep.dev/resources/whats-new	https://semgrep.dev/resources/whats-new/
200	可达	1781	-	https://skillmd.ai/skills/mastering-github-cli	https://skillmd.ai/skills/mastering-github-cli/
200	可达	1213	-	https://skillsmp.com/creators/duckduckgo/autoconsent/agents-skills-publicwww-search	https://skillsmp.com/creators/duckduckgo/autoconsent/agents-skills-publicwww-search
403	可达但被拒绝(反爬/需授权)	773	-	https://sourcegraph.com/api/graphql	https://sourcegraph.com/api/graphql
403	可达但被拒绝(反爬/需授权)	687	-	https://sourcegraph.com/docs/api/overview	https://sourcegraph.com/docs/api/overview
200	可达	1235	31776	https://sourceware.org/pipermail/cygwin-apps/2024-June/043789.html	https://sourceware.org/pipermail/cygwin-apps/2024-June/043789.html
200	可达	820	3038	https://test.pypi.org/project/github-search/	https://test.pypi.org/project/github-search/
200	可达	782	343	https://tree-sitter.github.io/	https://tree-sitter.github.io/
200	可达	800	30456	https://tree-sitter.github.io/tree-sitter/4-code-navigation.html	https://tree-sitter.github.io/tree-sitter/4-code-navigation.html
200	可达	789	27143	https://tree-sitter.github.io/tree-sitter/using-parsers/queries/4-api.html	https://tree-sitter.github.io/tree-sitter/using-parsers/queries/4-api.html
200	可达	734	330977	https://www.baseten.com/blog/the-best-open-source-embedding-models/	https://www.baseten.co/blog/the-best-open-source-embedding-models/
200	可达	877	612187	https://www.elastic.co/	https://www.elastic.co/
200	可达	877	390838	https://www.elastic.co/pricing/faq/licensing/	https://www.elastic.co/pricing/faq/licensing/
200	可达	1241	-	https://www.freshports.org/deskutils/recoll/	https://www.freshports.org/deskutils/recoll/
200	可达	1017	-	https://www.gharchive.org/	https://www.gharchive.org/
200	可达	1066	5841	https://www.gnu.org/software/global/	https://www.gnu.org/software/global/
200	可达	1494	389893	https://www.gnu.org/software/global/manual/global.html	https://www.gnu.org/software/global/manual/global.html
403	可达但被拒绝(反爬/需授权)	769	-	https://www.npmjs.com/package/@aiderdesk/tree-sitter-utils	https://www.npmjs.com/package/@aiderdesk/tree-sitter-utils
200	可达	915	17256	https://www.recoll.org/	https://www.recoll.org/
200	可达	1201	210915	https://www.sqlite.org/fts5.html	https://www.sqlite.org/fts5.html
200	可达	6597	28551	https://www.voidtools.com/	https://www.voidtools.com/zh-cn/
200	可达	1600	-	https://zairalabs.ai/guide/guides/vector-database-compared	https://zairalabs.ai/guide/guides/vector-database-compared/
[STATS] 平均 197 ms/条（串行基准约 3400 ms/条）
[WARN] 14 条需人工确认（受限≠失效：403 多为反爬；ERR 需重试）

